# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20160316,   44
  260,20160317,   57
  260,20160318,   52
  260,20160319,   62
  260,20160320,   68
  260,20160321,   72
  260,20160322,   76
  260,20160323,   76
  260,20160324,   79
  260,20160325,   65
  260,20160326,   95
  260,20160327,   91
  260,20160328,   97
  260,20160329,   78
  260,20160330,   81
  260,20160331,   76
  260,20160401,   72
  260,20160402,  101
  260,20160403,  152
  260,20160404,  124
  260,20160405,  106
  260,20160406,   89
  260,20160407,   73
  260,20160408,   67
  260,20160409,   92
  260,20160410,  107
  260,20160411,  132
  260,20160412,  116
  260,20160413,   90
  260,20160414,  106
  260,20160415,  103
  260,20160416,   86
  260,20160417,   62
  260,20160418,   81
  260,20160419,   97
  260,20160420,   86
  260,20160421,  101
  260,20160422,   87
  260,20160423,   62
  260,20160424,   46
  260,20160425,   49
  260,20160426,   48
  260,20160427,   60
  260,20160428,   58
  260,20160429,   74
  260,20160430,   77
  260,20160501,   79
  260,20160502,  115
  260,20160503,   97
  260,20160504,   95
  260,20160505,  128
  260,20160506,  164
  260,20160507,  195
  260,20160508,  201
  260,20160509,  202
  260,20160510,  189
  260,20160511,  204
  260,20160512,  202
  260,20160513,  154
  260,20160514,   89
  260,20160515,   86
  260,20160516,   93
  260,20160517,  123
  260,20160518,  136
  260,20160519,  134
  260,20160520,  137
  260,20160521,  179
  260,20160522,  155
  260,20160523,  120
  260,20160524,  114
  260,20160525,  118
  260,20160526,  137
  260,20160527,  160
  260,20160528,  176
  260,20160529,  172
  260,20160530,  162
  260,20160531,  182
  260,20160601,  192
  260,20160602,  153
  260,20160603,  164
  260,20160604,  201
  260,20160605,  200
  260,20160606,  189
  260,20160607,  201
  260,20160608,  161
  260,20160609,  153
  260,20160610,  164
  260,20160611,  162
  260,20160612,  166
  260,20160613,  159
  260,20160614,  152
  260,20160615,  146
  260,20160616,  157
  260,20160617,  151
  260,20160618,  141
  260,20160619,  153
  260,20160620,  155
  260,20160621,  170
  260,20160622,  201
  260,20160623,  220
  260,20160624,  192
  260,20160625,  154
  260,20160626,  149
  260,20160627,  149
  260,20160628,  167
  260,20160629,  160
  260,20160630,  164
  260,20160701,  169
  260,20160702,  154
  260,20160703,  147
  260,20160704,  170
  260,20160705,  154
  260,20160706,  149
  260,20160707,  168
  260,20160708,  175
  260,20160709,  197
  260,20160710,  213
  260,20160711,  186
  260,20160712,  166
  260,20160713,  145
  260,20160714,  145
  260,20160715,  166
  260,20160716,  197
  260,20160717,  198
  260,20160718,  202
  260,20160719,  228
  260,20160720,  254
  260,20160721,  218
  260,20160722,  211
  260,20160723,  211
  260,20160724,  207
  260,20160725,  182
  260,20160726,  184
  260,20160727,  179
  260,20160728,  190
  260,20160729,  183
  260,20160730,  177
  260,20160731,  170
  260,20160801,  165
  260,20160802,  166
  260,20160803,  190
  260,20160804,  173
  260,20160805,  176
  260,20160806,  164
  260,20160807,  184
  260,20160808,  172
  260,20160809,  144
  260,20160810,  128
  260,20160811,  136
  260,20160812,  189
  260,20160813,  176
  260,20160814,  170
  260,20160815,  161
  260,20160816,  163
  260,20160817,  172
  260,20160818,  177
  260,20160819,  181
  260,20160820,  178
  260,20160821,  167
  260,20160822,  180
  260,20160823,  210
  260,20160824,  228
  260,20160825,  243
  260,20160826,  221
  260,20160827,  216
  260,20160828,  205
  260,20160829,  172
  260,20160830,  162
  260,20160831,  174
  260,20160901,  172
  260,20160902,  166
  260,20160903,  185
  260,20160904,  179
  260,20160905,  173
  260,20160906,  177
  260,20160907,  183
  260,20160908,  196
  260,20160909,  169
  260,20160910,  184
  260,20160911,  185
  260,20160912,  209
  260,20160913,  235
  260,20160914,  230
  260,20160915,  226
  260,20160916,  174
  260,20160917,  173
  260,20160918,  167
  260,20160919,  144
  260,20160920,  145
  260,20160921,  147
  260,20160922,  138
  260,20160923,  136
  260,20160924,  152
  260,20160925,  163
  260,20160926,  135
  260,20160927,  145
  260,20160928,  187
  260,20160929,  159
  260,20160930,  145
  260,20161001,  135
  260,20161002,  121
  260,20161003,  145
  260,20161004,  130
  260,20161005,   98
  260,20161006,   94
  260,20161007,  118
  260,20161008,  110
  260,20161009,   79
  260,20161010,   79
  260,20161011,   80
  260,20161012,   89
  260,20161013,   91
  260,20161014,   99
  260,20161015,  107
  260,20161016,  133
  260,20161017,  121
  260,20161018,  102
  260,20161019,   88
  260,20161020,   85
  260,20161021,   76
  260,20161022,   67
  260,20161023,   48
  260,20161024,   71
  260,20161025,   87
  260,20161026,   95
  260,20161027,  118
  260,20161028,  131
  260,20161029,   96
  260,20161030,   87
  260,20161031,   85
  260,20161101,   81
  260,20161102,   72
  260,20161103,   67
  260,20161104,   76
  260,20161105,   69
  260,20161106,   61
  260,20161107,   42
  260,20161108,   19
  260,20161109,   30
  260,20161110,   40
  260,20161111,   18
  260,20161112,   20
  260,20161113,   27
  260,20161114,   31
  260,20161115,  108
  260,20161116,  119
  260,20161117,   93
  260,20161118,   60
  260,20161119,   58
  260,20161120,   84
  260,20161121,  120
  260,20161122,  110
  260,20161123,   79
  260,20161124,   66
  260,20161125,   33
  260,20161126,   -1
  260,20161127,   56
  260,20161128,   -3
  260,20161129,  -31
  260,20161130,   20
  260,20161201,   79
  260,20161202,   52
  260,20161203,   -1
  260,20161204,  -14
  260,20161205,  -27
  260,20161206,    1
  260,20161207,   63
  260,20161208,   82
  260,20161209,   91
  260,20161210,   78
  260,20161211,   85
  260,20161212,   53
  260,20161213,   66
  260,20161214,   73
  260,20161215,   65
  260,20161216,   54
  260,20161217,   61
  260,20161218,   62
  260,20161219,   43
  260,20161220,   -6
  260,20161221,   41
  260,20161222,   59
  260,20161223,   60
  260,20161224,   79
  260,20161225,  104
  260,20161226,   83
  260,20161227,   66
  260,20161228,   10
  260,20161229,  -22
  260,20161230,  -11
  260,20161231,   18
